symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JPM,2019-08-21 00:00:00+00:00,107.61,108.43,107.45,108.21,8189648,93.984690192,94.7008638371,93.8449489929,94.5087196884,8189648,0.0,1.0
JPM,2019-08-22 00:00:00+00:00,108.72,109.27,107.93,108.37,9343395,94.9541447604,95.4345051322,94.2641725901,94.6484608875,9343395,0.0,1.0
JPM,2019-08-23 00:00:00+00:00,106.02,108.78,105.11,108.0,14764096,92.5960120263,95.0065477101,91.8012339567,94.3253093647,14764096,0.0,1.0
JPM,2019-08-26 00:00:00+00:00,106.87,106.99,106.01,106.62,8211955,93.3383871463,93.4431930456,92.5872782014,93.1200415228,8211955,0.0,1.0
JPM,2019-08-27 00:00:00+00:00,105.74,107.56,104.84,107.35,14335951,92.351464928,93.9410210673,91.5654206833,93.7576107435,14335951,0.0,1.0
JPM,2019-08-28 00:00:00+00:00,106.8,107.21,105.04,105.08,10584137,93.2772503717,93.6353371943,91.7400971821,91.7750324819,10584137,0.0,1.0
JPM,2019-08-29 00:00:00+00:00,109.22,109.89,108.02,108.14,10002439,95.3908360075,95.9760022786,94.3427770146,94.4475829138,10002439,0.0,1.0
JPM,2019-08-30 00:00:00+00:00,109.86,110.56,109.47,109.84,10170206,95.9498008037,96.5611685496,95.609181631,95.9323331538,10170206,0.0,1.0
JPM,2019-09-03 00:00:00+00:00,108.56,108.99,107.32,108.98,9867833,94.8144035614,95.1899580338,93.7314092687,95.1812242089,9867833,0.0,1.0
JPM,2019-09-04 00:00:00+00:00,109.87,110.22,108.56,109.45,6929198,95.9585346287,96.2642185016,94.8144035614,95.5917139811,6929198,0.0,1.0
JPM,2019-09-05 00:00:00+00:00,112.37,113.72,111.2,111.25,13224675,98.141990864,99.321057231,97.1201333458,97.1638024706,13224675,0.0,1.0
JPM,2019-09-06 00:00:00+00:00,112.61,112.98,111.96,112.66,7836589,98.3516026626,98.6747541854,97.7839040414,98.3952717873,7836589,0.0,1.0
JPM,2019-09-09 00:00:00+00:00,115.4,116.06,113.6,113.71,13983434,100.7883398211,101.3647722673,99.2162513317,99.3123234061,13983434,0.0,1.0
